episode,reward,avg_delay,throughput,epsilon,loss
0,-5965.879999999999,3.3977272510528564,1059,0.9316949999999999,0.0
1,-2903.540000000001,1.824742317199707,1972,0.863295,0.4582127332687378
2,-2326.3799999999997,4.214285850524902,854,0.794895,0.3549240231513977
3,-1740.919999999998,4.064516067504883,885,0.726495,0.20706185698509216
4,-1530.3200000000006,2.09375,1719,0.6580950000000001,0.1796044111251831
5,-1350.0399999999975,3.307692289352417,1088,0.5896950000000001,0.1701960563659668
6,-1244.2599999999989,4.125,872,0.5212950000000001,0.09960087388753891
7,-1201.5599999999993,2.357142925262451,1527,0.45289500000000005,0.2580026388168335
8,-1185.6199999999997,5.307692527770996,678,0.38449500000000003,0.27099132537841797
9,-1137.7399999999989,4.4375,811,0.316095,0.11008282750844955
10,-1101.6999999999991,2.538461446762085,1418,0.247695,0.10506989061832428
11,-1067.3399999999986,3.5789473056793213,1005,0.17929499999999998,0.14725594222545624
12,-1086.919999999998,3.944444417953491,912,0.11089500000000008,0.07301782071590424
13,-1051.7199999999978,4.875,738,0.050000000000000044,0.07583878934383392
14,-1058.839999999996,3.5999999046325684,1000,0.050000000000000044,0.12160532921552658
15,-1035.779999999996,3.722222328186035,967,0.050000000000000044,0.08384805917739868
16,-1056.3599999999976,6.545454502105713,550,0.050000000000000044,0.08978654444217682
17,-1007.8599999999968,4.6315789222717285,777,0.050000000000000044,0.041270993649959564
18,-1060.9199999999955,4.0,900,0.050000000000000044,0.12170122563838959
19,-1062.3599999999967,4.9285712242126465,730,0.050000000000000044,0.11181986331939697
20,-1048.2199999999964,5.133333206176758,701,0.050000000000000044,0.08881179988384247
21,-1073.5399999999972,4.5625,789,0.050000000000000044,0.051809266209602356
22,-1050.6399999999978,4.125,872,0.050000000000000044,0.12467937916517258
23,-1070.639999999998,3.3499999046325684,1074,0.050000000000000044,0.10064034163951874
24,-1078.2999999999972,3.1818182468414307,1131,0.050000000000000044,0.12645241618156433
25,-1051.0399999999963,3.6500000953674316,986,0.050000000000000044,0.15148521959781647
26,-1043.7799999999966,3.549999952316284,1014,0.050000000000000044,0.15420803427696228
27,-1059.5599999999963,6.0,600,0.050000000000000044,0.17676085233688354
28,-1046.6199999999972,5.0714287757873535,709,0.050000000000000044,0.13113854825496674
29,-1048.2599999999977,3.941176414489746,913,0.050000000000000044,0.1047261655330658
30,-1030.2199999999975,7.55555534362793,476,0.050000000000000044,0.21642684936523438
31,-1047.3599999999967,7.699999809265137,467,0.050000000000000044,0.18995872139930725
32,-1072.9999999999966,4.235294342041016,849,0.050000000000000044,0.1636754274368286
33,-1058.8599999999979,4.4666666984558105,805,0.050000000000000044,0.21852152049541473
34,-1067.7799999999975,3.590909004211426,1002,0.050000000000000044,0.14009085297584534
35,-1054.7599999999961,3.2857143878936768,1095,0.050000000000000044,0.05223889648914337
36,-1067.5599999999984,3.450000047683716,1043,0.050000000000000044,0.1615578830242157
37,-1053.5799999999972,6.2727274894714355,573,0.050000000000000044,0.5817896127700806
38,-1079.479999999997,4.5333333015441895,794,0.050000000000000044,0.1930181384086609
39,-1052.2399999999968,6.538461685180664,550,0.050000000000000044,0.15878184139728546
40,-1060.9999999999968,3.3499999046325684,1074,0.050000000000000044,0.2374030351638794
41,-1064.2199999999968,2.5999999046325684,1384,0.050000000000000044,0.5802438259124756
42,-1037.0999999999972,6.181818008422852,582,0.050000000000000044,0.17818081378936768
43,-1047.539999999996,4.045454502105713,889,0.050000000000000044,0.519135057926178
44,-1050.8199999999968,4.1052632331848145,876,0.050000000000000044,0.1804644912481308
45,-1066.899999999997,6.300000190734863,571,0.050000000000000044,0.09378603100776672
46,-1063.7399999999966,3.047619104385376,1181,0.050000000000000044,0.10997922718524933
47,-1060.1199999999976,6.181818008422852,582,0.050000000000000044,0.14748035371303558
48,-1079.2399999999966,11.5,313,0.050000000000000044,0.11660515516996384
49,-1068.639999999997,3.3157894611358643,1085,0.050000000000000044,0.18165896832942963
50,-1051.419999999997,3.6086957454681396,997,0.050000000000000044,0.11787601560354233
51,-1051.8399999999967,3.777777671813965,952,0.050000000000000044,0.5219519138336182
52,-1059.0799999999977,3.045454502105713,1182,0.050000000000000044,0.1343696266412735
53,-1058.5399999999975,4.714285850524902,763,0.050000000000000044,0.10661245882511139
54,-1065.8799999999962,4.370370388031006,823,0.050000000000000044,0.11012375354766846
55,-1077.2799999999968,4.333333492279053,830,0.050000000000000044,0.10308937728404999
56,-1069.6199999999972,5.266666889190674,683,0.050000000000000044,0.2101564109325409
57,-1070.559999999997,4.785714149475098,752,0.050000000000000044,0.16927221417427063
58,-1072.4599999999973,3.736842155456543,963,0.050000000000000044,0.13718174397945404
59,-1066.4999999999975,3.04347825050354,1182,0.050000000000000044,0.16225594282150269
60,-1088.6799999999973,3.4000000953674316,1058,0.050000000000000044,0.1291818767786026
61,-1097.8999999999983,2.904761791229248,1239,0.050000000000000044,0.12163097411394119
62,-1050.8799999999983,5.75,626,0.050000000000000044,0.14621499180793762
63,-1043.4399999999964,3.045454502105713,1182,0.050000000000000044,0.12729862332344055
64,-1069.7999999999986,3.6315789222717285,991,0.050000000000000044,0.1248149424791336
65,-1041.3999999999971,4.066666603088379,885,0.050000000000000044,0.17678499221801758
66,-1086.5799999999983,7.099999904632568,507,0.050000000000000044,0.09769619256258011
67,-1053.3599999999992,4.5789475440979,786,0.050000000000000044,0.09448311477899551
68,-1052.2999999999965,3.299999952316284,1090,0.050000000000000044,0.18520361185073853
69,-1059.7599999999975,3.25,1107,0.050000000000000044,0.08795502036809921
70,-1077.5799999999977,6.25,576,0.050000000000000044,0.0943024531006813
71,-1043.6799999999964,3.4210526943206787,1052,0.050000000000000044,0.20822441577911377
72,-1052.4399999999969,5.666666507720947,635,0.050000000000000044,0.17881503701210022
73,-1049.0999999999965,3.875,929,0.050000000000000044,0.09733669459819794
74,-1051.059999999997,3.6315789222717285,991,0.050000000000000044,0.09100518375635147
75,-1076.5999999999976,4.315789699554443,834,0.050000000000000044,0.20211535692214966
76,-1063.8399999999976,3.75,960,0.050000000000000044,0.14932188391685486
77,-1072.7399999999966,6.2727274894714355,573,0.050000000000000044,0.6103787422180176
78,-1081.719999999998,4.857142925262451,741,0.050000000000000044,0.19129422307014465
79,-1060.4799999999975,4.117647171020508,874,0.050000000000000044,0.18046990036964417
80,-1040.1599999999953,4.1875,859,0.050000000000000044,0.6479451060295105
81,-1055.7599999999961,4.199999809265137,857,0.050000000000000044,0.1927385926246643
82,-1052.2399999999977,4.823529243469238,746,0.050000000000000044,0.14880843460559845
83,-1066.7599999999975,4.9285712242126465,730,0.050000000000000044,0.17378365993499756
84,-1046.7599999999977,4.266666889190674,843,0.050000000000000044,0.16532090306282043
85,-1072.6399999999974,8.5,423,0.050000000000000044,0.12418059259653091
