episode,reward,avg_delay,throughput,epsilon,loss
120,-1839.5399999999984,1.2352941036224365,2914,0.0,0.0
121,-1938.3400000000001,1.625,2215,0.0,0.0
122,-1874.5800000000013,1.9500000476837158,1846,0.0,10.446976712346077
123,-1791.6799999999996,3.076923131942749,1169,0.0,0.0
124,-1717.8200000000015,3.5322580337524414,1019,0.0,0.0
125,-1757.6599999999999,3.82608699798584,940,0.0,8.4594910800457
126,-1842.3200000000018,2.346153736114502,1534,0.0,0.0
127,-1846.46,5.15625,698,0.0,9.344911026209592
128,-1817.8800000000003,4.592592716217041,783,0.0,0.0
129,-1786.0200000000027,2.3611111640930176,1524,0.0,0.0
130,-1912.1200000000001,4.333333492279053,830,0.0,12.396472515910864
131,-1867.380000000001,1.0166666507720947,3540,0.0,0.0
132,-1818.3400000000006,2.54347825050354,1415,0.0,0.0
133,-1796.6,3.2195122241973877,1118,0.0,9.510422407835723
134,-1811.38,3.3913042545318604,1061,0.0,0.0
135,-1852.0999999999997,3.090909004211426,1164,0.0,0.0
136,-1791.4600000000023,1.6888889074325562,2131,0.0,10.36219580322504
137,-1897.959999999999,3.068965435028076,1173,0.0,0.0
138,-1774.0999999999997,2.1764705181121826,1654,0.0,0.0
139,-1757.3599999999994,3.5681817531585693,1008,0.0,11.023920238018036
140,-1778.499999999999,4.4347825050354,811,0.0,0.0
141,-1830.6000000000008,4.0,900,0.0,0.0
142,-1870.2000000000007,2.549999952316284,1411,0.0,8.931994616985321
143,-1825.0600000000004,8.0,450,0.0,0.0
144,-1845.4000000000003,3.5,1028,0.0,0.0
145,-1781.3200000000015,2.7555556297302246,1306,0.0,8.699987897276879
146,-1689.7600000000011,3.297297239303589,1091,0.0,0.0
147,-1799.439999999999,3.444444417953491,1045,0.0,6.27685017734766
148,-1818.9999999999995,2.055555582046509,1751,0.0,0.0
149,-1811.2000000000016,4.320000171661377,833,0.0,0.0
150,-1940.3600000000004,3.6451613903045654,987,0.0,9.933423294126987
151,-1857.1800000000003,3.625,993,0.0,0.0
152,-1904.3599999999992,3.875,929,0.0,0.0
153,-1793.4399999999998,3.0833332538604736,1167,0.0,9.98837444409728
154,-1928.7400000000011,3.545454502105713,1015,0.0,0.0
155,-1847.8000000000006,4.645161151885986,775,0.0,0.0
156,-1827.4400000000003,3.5,1028,0.0,12.256901356577874
157,-1842.839999999998,1.9016393423080444,1893,0.0,0.0
158,-1754.9800000000018,2.359999895095825,1525,0.0,0.0
159,-1744.5200000000011,3.945945978164673,912,0.0,10.340522199869156
160,-1768.959999999999,2.6388888359069824,1364,0.0,0.0
161,-1748.8400000000008,3.7249999046325684,966,0.0,0.0
162,-1749.8400000000006,3.8888888359069824,925,0.0,8.36395625025034
163,-1788.0800000000022,3.3214285373687744,1083,0.0,0.0
164,-1704.0599999999995,4.583333492279053,785,0.0,6.327201095968485
165,-1887.0200000000004,2.8275861740112305,1273,0.0,0.0
166,-1821.6200000000024,4.238095283508301,849,0.0,0.0
167,-1731.4399999999991,4.3684210777282715,824,0.0,9.18106218278408
168,-1763.380000000001,2.2162163257598877,1624,0.0,0.0
169,-1721.9,3.775510311126709,953,0.0,0.0
170,-1659.6599999999999,2.914285659790039,1235,0.0,7.385328958183527
171,-1725.3400000000008,1.8444443941116333,1951,0.0,0.0
172,-1793.3599999999994,2.146341562271118,1677,0.0,0.0
173,-1759.0600000000009,3.8620688915252686,932,0.0,6.67030491232872
174,-1687.400000000001,4.960000038146973,725,0.0,0.0
175,-1754.4800000000002,4.138888835906982,869,0.0,0.0
176,-1797.8600000000013,4.358974456787109,825,0.0,8.973986503481864
177,-1736.2599999999986,3.2857143878936768,1095,0.0,0.0
178,-1806.620000000001,3.573770523071289,1007,0.0,0.0
179,-1664.3600000000017,3.5526316165924072,1013,0.0,8.225703419744969
180,-1842.4199999999996,4.19444465637207,858,0.0,0.0
181,-2057.200000000001,3.526315689086914,1020,0.0,0.0
182,-1705.1000000000001,3.384615421295166,1063,0.0,14.13414745181799
183,-1747.9999999999998,4.214285850524902,854,0.0,0.0
184,-1655.1600000000012,1.692307710647583,2127,0.0,6.751994045823812
185,-1705.7799999999984,3.7441861629486084,961,0.0,0.0
186,-1766.7599999999998,3.424999952316284,1051,0.0,0.0
187,-1717.3599999999979,3.904761791229248,921,0.0,7.380325841903686
188,-1727.8399999999997,3.965517282485962,907,0.0,0.0
189,-1646.5399999999997,3.2727272510528564,1100,0.0,0.0
190,-1811.8800000000003,4.0,900,0.0,8.546606046706438
191,-1726.3400000000004,3.1666667461395264,1136,0.0,0.0
192,-1735.7999999999986,6.0333333015441895,596,0.0,0.0
193,-1702.6799999999994,4.714285850524902,763,0.0,8.373430524021387
194,-1759.900000000001,3.6363637447357178,989,0.0,0.0
195,-1679.36,3.4782607555389404,1035,0.0,0.0
196,-1588.14,4.083333492279053,881,0.0,7.37266508191824
197,-1684.040000000001,2.529411792755127,1423,0.0,0.0
198,-1691.1600000000017,2.4677419662475586,1458,0.0,0.0
199,-1706.5799999999988,2.4473683834075928,1470,0.0,6.357969681918621
